"闘","トウ, たたか.う, あらそ.う","fight, war"
"浦","ホ, うら","bay, creek, inlet, gulf, beach, seacoast"
"暮","ボ, く.れる, く.らす","evening, twilight, season's end, livelihood, make a living, spend time"
"替","タイ, か.える, か.え-, か.わる","exchange, spare, substitute, per-"
"析","セキ","chop, divide, tear, analyze"
"預","ヨ, あず.ける, あず.かる","deposit, custody, leave with, entrust to"
"焼","ショウ, や.く, や.き, や.き-, -や.き, や.ける","bake, burning"
"簡","カン, ケン, えら.ぶ, ふだ","simplicity, brevity"
"譲","ジョウ, ゆず.る","defer, turnover, transfer, convey"
"称","ショウ, たた.える, とな.える, あ.げる, かな.う, はか.り, はか.る, ほめ.る","appellation, praise, admire, name, title, fame"
"肉","ニク, しし","meat"
"納","ノウ, ナッ, ナ, ナン, トウ, おさ.める, -おさ.める, おさ.まる","settlement, obtain, reap, pay, supply, store"
"樹","ジュ, き","timber, trees, wood, establish, set up"
"挑","チョウ, いど.む","challenge, contend for, make love to"
"章","ショウ","badge, chapter, composition, poem, design"
"臓","ゾウ, はらわた","entrails, viscera, bowels"
"律","リツ, リチ, レツ","rhythm, law, regulation, gauge, control"
"誘","ユウ, さそ.う, いざな.う","entice, lead, tempt, invite, ask, call for, seduce, allure"
"紛","フン, まぎ.れる, -まぎ.れ, まぎ.らす, まぎ.らわす, まぎ.らわしい","distract, be mistaken for, go astray, divert"
"貸","タイ, か.す, か.し-, かし-","lend"
"至","シ, いた.る","climax, arrive, proceed, reach, attain, result in"
"宗","シュウ, ソウ, むね","religion, sect, denomination, main point, origin, essence"
"促","ソク, うなが.す","stimulate, urge, press, demand, incite"
"慎","シン, つつし.む, つつ.ましい, つつし, つつし.み","humility, be careful, discreet, prudent"
"控","コウ, ひか.える, ひか.え","withdraw, draw in, hold back, refrain from, be moderate"
