"伊","イ, かれ","Italy, that one"
"恰","コウ, カッ, チョウ, キョウ, あたか.も","just as, as though, fortunately"
"椛","かば, もみじ","autumn foliage, birch, maple, (kokuji)"
"鞄","ハク, ホウ, ビョウ, かばん","suitcase, bag, briefcase"
"侃","カン, つよ.い","strong, just, righteous, peace-loving"
"柑","コン, カン","citrus, orange"
"莞","カン, い","smiling, reed used to cover tatami"
"徽","キ, しるし","good, beautiful, badge"
"誼","ギ, よしみ, よい","friendship, intimacy"
"掬","キク, コク, きく.す, むす.ぶ, すく.う, たなごころ","scoop up water with the hand"
"鞠","キク, キュウ, まり","ball"
"桔","キツ, ケツ","used in plant names"
"砧","チン, きぬた","fulling block"
"汲","キュウ, く.む","draw (water), ladle, scoop, pump"
"灸","キュウ, ク, やいと","moxa cautery, chastisement"
"笈","キュウ","backpack bookcase"
"鋸","キョ, コ, のこ, のこぎり","saw (cuts wood)"
"蕎","キョウ, そば","buckwheat"
"禽","キン, とり, とりこ","bird, captive, capture"
"衿","キン, コン, えり","neck, collar, lapel"
"玖","キュウ, ク","beautiful black jewel, nine"
"喰","く.う, く.らう","eat, drink, receive (a blow), (kokuji)"
"屑","セツ, くず, いさぎよ.い","rubbish, junk, trash, waste, scraps"
"沓","トウ, くつ","shoes, boots"
"鍬","ショウ, シュウ, くわ, すき","hoe with long blade at acute angle"
"袈","ケ, カ","a coarse camlet"
"祁","キ, ケ","intense, large"
"戟","ゲキ, ほこ","halbert, arms"
"訣","ケツ, わかれ, わかれ.る","separation, part, secret"
"倦","ケン, あき.る, あぐ.む, あぐ.ねる, う.む, つか.れる","lose interest in, tire of"
"捲","ケン, ま.く, ま.くる, まく.る, めく.る, まく.れる","roll, wind, coil, turn pages, roll up sleeves, strip off, be turned, be rolled up"
"牽","ケン, ひ.く","pull, tug, drag, lead by hand"
"絃","ゲン, いと","string, cord, samisen music"
"諺","ゲン, ことわざ","proverb"
"乎","コ, オ, か, ああ, かな, や, よ, を","question mark, ?"
"糊","コ, ゴ, コツ, のり","paste, glue, sizing"
"跨","コ, カ, また.がる, またが.る, また.ぐ","be, sit or stand astride, extend over, straddle"
"梧","ゴ, あおぎり","Chinese parasol tree, phoenix tree"
"檎","キン, ゴン, ゴ","apple"
"瑚","コ, ゴ","ancestral offering receptacle, coral"
"醐","ゴ, コ","boiled butter"
"倖","コウ, しあわ.せ, さいわ.い","happiness, luck"
"庚","コウ, かのえ","7th, 7th calendar sign"
"昂","コウ, ゴウ, あ.がる, たか.い, たか.ぶる","rise"
"腔","コウ","body cavity"
"膏","コウ, あぶら","fat, grease, lard, paste, ointment, plaster"
"閤","コウ, くぐりど","small side gate"
"劫","コウ, ゴウ, キョウ, おびや.かす","threat, long ages"
"忽","コツ, たちま.ち, ゆるが.せ","in a moment, instantly, all of a sudden, neglect, disregard"
"昏","コン, くら.い, くれ","dark, evening, dusk"
"些","サ, シャ, ち.と, ち.っと, いささか","a little bit, sometimes"
"叉","サ, シャ, サイ, また","fork in road, crotch"
"瑳","サ, みが.く","polish, brilliant white luster of a gem, artful smile"
"裟","サ, シャ","Buddhist surplice"
"哉","サイ, かな, や","how, what, alas, question mark, exclamation mark"
"肴","コウ, さかな","accompaniment for drinks"
"窄","サク, すぼ.める, つぼ.める, せま.い","narrow, fold, furl, shrug, pucker, shut, close"
"錆","ショウ, セイ, さび, くわ.しい","rust, tarnish"
"晒","サイ, シ, さら.す, さらし","bleach, refine, expose, air"
"撒","サン, サツ, ま.く","scatter, sprinkle, give them the slip"
"燦","サン, さん.たる, あき.らか, きらめ.く, きら.めく","brilliant"
"珊","サン, センチ, さんち","coral, centimeter"
"纂","サン, あつ.める","editing, compiling"
"仔","シ, こ, た.える","offspring (animal), detailed, fine"
"斯","シ, か, こう, か.く, この, これ, ここに","this, thus, such, verbal pause"
"爾","ジ, ニ, なんじ, しかり, その, のみ, おれ, しか","you, thou, second person"
"而","ジ, ニ, しこ.うして, しか.して, しか.も, しか.れども, すなわち, なんじ, しかるに","and yet, and then, but, however, nevertheless"
"竺","ジク, チク, トク","bamboo"
"悉","シツ, シチ, つ.きる, ことごと, ことごと.く, つ.くす, つぶさ.に","all, entirely, altogether, completely, use up, run out of, exhaust, befriend, serve"
"紗","サ, シャ, うすぎぬ","gauze, gossamer"
"勺","シャク","ladle, one tenth of a go, dip"
"灼","シャク, あらた, やく","miraculous"
"惹","ジャク, ジャ, ひ.く","attract, captivate"
"蒐","シュウ, あかね, あつ.まる, あつ.める","gather"
"輯","シュウ, あつ.める, やわ.らぐ","gather, collect, compile"
"竣","ドウ, シュン, わらわ, わらべ, おわ.る","end, finish"
"楯","ジュン, たて","shield, buckler, pretext"
"醇","ジュン, シュン, もっぱら, こい, あつい","pure sake, purity, affection"
"恕","ジョ, ショ, ゆる.す","excuse, tolerate, forgive"
"嘗","ショウ, ジョウ, かつ.て, こころ.みる, な.める","once, before, formerly, ever, never, ex-, lick, lap up, burn up, taste, undergo, underrate, despise"
"捷","ショウ, ソウ, はや.い","victory, fast"
"梢","ショウ, こずえ, くすのき","treetops, twig"
"菖","ショウ","iris"
"裳","ショウ, も, もすそ","skirt"
"鞘","ショウ, ソウ, さや","sheath, case, margin, difference, shells (of beans)"
"丞","ジョウ, ショウ, すく.う, たす.ける","help"
"燭","ソク, ショク, ともしび","light, candlepower"
"訊","ジン, シュン, シン, き.く, と.う, たず.ねる","request, question, investigate"
"錐","スイ, きり","auger, drill, awl, pyramid, cone"
"錘","スイ, つむ, おもり","weight, plumb bob, sinker, spindle"
"嵩","スウ, シュウ, かさ, かさ.む, たか.い","be aggravated, grow worse, grow bulky, swell"
"頗","ハ, すこぶ.る, かたよ.る","prejudiced, exceedingly"
"摺","ショウ, シュウ, ロウ, す.る, ひだ","rub, fold, print (on cloth)"
"棲","セイ, す.む","live, dwell"
"栖","セイ, す.む","nest, rookery, hive, cobweb, den"
"蹟","セキ, シャク, あと","remains, traces, footprint"
"碩","セキ, おお.きい","large, great, eminent"
"撰","サン, セン, せん.する, えら.む, えら.ぶ","composing, editing, compiling, selecting"
"穿","セン, うが.つ, は.く","put on (to the feet), dig, pierce, drill"
"銑","セン","pig iron"
"閃","セン, ひらめ.く, ひらめ.き, うかが.う","flash, brandish"
"噌","ソウ, ショウ, ソ, かまびす.しい","boisterous"
"楚","ソ, ショ, いばら, しもと, すわえ","whip, cane"
"疏","ソ, ショ, あら.い, うと.い, うと.む, とお.る, とお.す, まばら","pass through, note, commentary, estrangement, sparseness, neglect, penetrate"
"陀","タ, ダ, イ, チ, ジ, けわ.しい, ななめ","steep"
"苔","タイ, こけ, こけら","moss, lichen"
"托","タク, たく.する, たの.む","requesting, entrusting with, pretend, hint"
"茸","ジョウ, ニュ, きのこ, たけ, しげ.る","mushroom"
"辿","テン, たど.る, たどり","follow (road), pursue"
"坦","タン, たいら","level, wide"
"歎","タン, なげ.く, なげ.き","grief, lamentation"
"耽","タン, ふけ.る","addicted, absorbed in"
"馳","チ, ジ, は.せる","run, gallop, sail, drive (a wagon), win (fame), despatch"
"註","チュウ","notes, comment, annotate"
"寵","チョウ, めぐ.み, めぐ.む","affection, love, patronage"
"牒","チョウ, ジョウ, ふだ","label, genealogy, circular"
