"蒋","ショウ, ソウ, まこも, はげ.ます","reed"
"蛭","シツ, チツ, ひる","leech"
"婆","バ, ばば, ばあ","old woman, grandma, wet nurse"
"叢","ソウ, ス, くさむら, むら.がる, むら","plexus, clump of bushes, thicket"
"椙","すぎ","Japanese cedar, cryptomeria, (kokuji)"
"轟","ゴウ, コウ, とどろ.かす, とどろ.く","roar, thunder, boom resound"
"贋","ガン, にせ","counterfeit, forgery"
"洒","シャ, ソン, サイ, セン, セイ, すす.ぐ, あら.う","wash, sprinkle"
"貰","セイ, シャ, もら.う","get, have, obtain"
"儲","チョ, もう.ける, もう.かる, もうけ, たくわ.える","be profitable, yield profit"
"緋","ヒ, あけ, あか","scarlet, cardinal"
"貼","テン, チョウ, は.る, つ.く","stick, paste, apply"
"諜","チョウ, ちょう.ずる, うかが.う, しめ.す","spy out, reconnoiter"
"鯛","チョウ, たい","sea bream, red snapper"
"蓼","シン, リク, リョウ, たで","luxurious grass, a smartweed"
"甕","オウ, かめ, みか","jar, jug, vat"
"喘","ゼン, セン, あえ.ぐ, せき","pant, gasp, breathe hard"
"怜","レイ, レン, リョウ, あわ.れむ, さと.い","wise"
"溜","リュウ, た.まる, たま.る, た.める, したた.る, たまり, ため","collect, gather, be in arrears"
"邑","ユウ, むら","village, rural community, right village radical (no. 163)"
"鉾","ボウ, ム, ほこ","halberd, arms, festival float"
"倣","ホウ, なら.う","emulate, imitate"
"碧","ヘキ, ヒャク","blue, green"
"燈","トウ, ひ, ほ-, ともしび, とも.す, あかり","lamp, light, counter for lights"
"諦","テイ, タイ, あきら.める, つまびらか, まこと","truth, clarity, abandon, give up"
"煎","セン, せん.じる, い.る, に.る","broil, parch, roast, boil"
"瓜","カ, ケ, うり","melon"
"緻","チ, こまか.い","fine (i.e. not coarse)"
"哺","ホ, はぐく.む, ふく.む","nurse, suckle"
"槌","ツイ, つち","hammer, mallet"
"啄","タク, ツク, トク, ついば.む, つつ.く","peck, pick up"
"穣","ジョウ, わら, ゆたか","good crops, prosperity, 10**28"
"嗜","シ, たしな.む, たしな.み, この.む, この.み","like, taste, modest"
"偕","カイ, ともに","together"
"罵","バ, ののし.る","abuse, insult"
"酉","ユウ, とり","west, bird, sign of the bird, 5-7PM, tenth sign of Chinese zodiac, sake radical (no. 164)"
"蹄","テイ, ひづめ","hoof"
"頚","ケイ, くび","neck, head"
"胚","ハイ, はらみ, はら.む","embryo"
"牢","ロウ, かた.い, ひとや","prison, jail, hardness"
"糞","フン, くそ","shit, feces, excrement"
"悌","テイ, ダイ","serving our elders"
"吊","チョウ, つ.る, つる.す","suspend, hang, wear (sword)"
"楕","ダ, タ","ellipse"
"鮭","カイ, ケイ, さけ, しゃけ, ふぐ","salmon"
"乞","コツ, キツ, キ, キケ, コチ, こ.う","beg, invite, ask"
"倹","ケン, つま.しい, つづまやか","frugal, economy, thrifty"
"嗅","キュウ, か.ぐ","smell, sniff, scent"
"詫","タ, わび, わび.しい, かこつ, わ.びる, わび.る","apologize"
"鱒","ソン, セン, ザン, ます","salmon trout"
